n,j,u[n][j],exact,error
28,9,0.118730,0.118663,0.056536
28,10,0.000000,0.000000,1.#INF00
29,0,0.751539,0.751098,0.058555
29,1,0.742286,0.741851,0.058555
29,2,0.714756,0.714337,0.058555
29,3,0.669626,0.669234,0.058555
29,4,0.608007,0.607651,0.058555
29,5,0.531418,0.531107,0.058555
29,6,0.441743,0.441485,0.058555
29,7,0.341191,0.340992,0.058555
29,8,0.232238,0.232102,0.058555
29,9,0.117567,0.117498,0.058555
29,10,0.000000,0.000000,1.#INF00
30,0,0.744173,0.743722,0.060573
30,1,0.735011,0.734565,0.060573
30,2,0.707750,0.707322,0.060573
30,3,0.663063,0.662661,0.060573
30,4,0.602048,0.601684,0.060573
30,5,0.526210,0.525891,0.060573
30,6,0.437414,0.437149,0.060573
30,7,0.337847,0.337643,0.060573
30,8,0.229962,0.229823,0.060573
30,9,0.116414,0.116344,0.060573
30,10,0.000000,0.000000,1.#INF00
31,0,0.736879,0.736418,0.062592
31,1,0.727807,0.727351,0.062592
31,2,0.700814,0.700375,0.062592
31,3,0.656564,0.656153,0.062592
31,4,0.596148,0.595774,0.062592
31,5,0.521052,0.520726,0.062592
31,6,0.433127,0.432855,0.062592
31,7,0.334536,0.334327,0.062592
31,8,0.227708,0.227566,0.062592
31,9,0.115273,0.115201,0.062592
31,10,0.000000,0.000000,1.#INF00
32,0,0.729657,0.729185,0.064610
32,1,0.720673,0.720208,0.064610
32,2,0.693945,0.693496,0.064610
32,3,0.650129,0.649709,0.064610
32,4,0.590305,0.589923,0.064610
32,5,0.515945,0.515612,0.064610
32,6,0.428881,0.428604,0.064610
32,7,0.331257,0.331043,0.064610
32,8,0.225476,0.225331,0.064610
32,9,0.114143,0.114070,0.064610
32,10,0.000000,0.000000,1.#INF00
33,0,0.722505,0.722024,0.066629
33,1,0.713610,0.713135,0.066629
33,2,0.687143,0.686686,0.066629
33,3,0.643757,0.643328,0.066629
33,4,0.584519,0.584130,0.066629
33,5,0.510888,0.510548,0.066629
33,6,0.424678,0.424395,0.066629
33,7,0.328011,0.327792,0.066629
33,8,0.223266,0.223118,0.066629
33,9,0.113025,0.112949,0.066629
33,10,0.000000,0.000000,1.#INF00
34,0,0.715424,0.714933,0.068647
34,1,0.706616,0.706131,0.068647
34,2,0.680409,0.679942,0.068647
34,3,0.637447,0.637010,0.068647
34,4,0.578790,0.578393,0.068647
34,5,0.505881,0.505534,0.068647
34,6,0.420516,0.420227,0.068647
