n,j,u[n][j],exact,error
52,5,0.135715,0.128365,5.415679
52,6,0.129072,0.122082,5.415679
52,7,0.109796,0.103849,5.415679
52,8,0.079771,0.075451,5.415679
52,9,0.041938,0.039667,5.415679
52,10,0.000000,0.000000,0.000000
53,0,0.000000,0.000000,0.000000
53,1,0.040358,0.038131,5.516900
53,2,0.076765,0.072530,5.516900
53,3,0.105659,0.099830,5.516900
53,4,0.124209,0.117357,5.516900
53,5,0.130601,0.123396,5.516900
53,6,0.124209,0.117357,5.516900
53,7,0.105659,0.099830,5.516900
53,8,0.076765,0.072530,5.516900
53,9,0.040358,0.038131,5.516900
53,10,0.000000,0.000000,0.000000
54,0,0.000000,0.000000,0.000000
54,1,0.038837,0.036655,5.618013
54,2,0.073873,0.069723,5.618013
54,3,0.101677,0.095965,5.618013
54,4,0.119529,0.112814,5.618013
54,5,0.125680,0.118619,5.618013
54,6,0.119529,0.112814,5.618013
54,7,0.101677,0.095965,5.618013
54,8,0.073873,0.069723,5.618013
54,9,0.038837,0.036655,5.618013
54,10,0.000000,0.000000,0.000000
55,0,0.000000,0.000000,0.000000
55,1,0.037374,0.035237,5.719017
55,2,0.071089,0.067024,5.719017
55,3,0.097846,0.092250,5.719017
55,4,0.115025,0.108447,5.719017
55,5,0.120945,0.114028,5.719017
55,6,0.115025,0.108447,5.719017
55,7,0.097846,0.092250,5.719017
55,8,0.071089,0.067024,5.719017
55,9,0.037374,0.035237,5.719017
55,10,0.000000,0.000000,0.000000
56,0,0.000000,0.000000,0.000000
56,1,0.035966,0.033873,5.819914
56,2,0.068411,0.064429,5.819914
56,3,0.094159,0.088679,5.819914
56,4,0.110691,0.104249,5.819914
56,5,0.116388,0.109614,5.819914
56,6,0.110691,0.104249,5.819914
56,7,0.094159,0.088679,5.819914
56,8,0.068411,0.064429,5.819914
56,9,0.035966,0.033873,5.819914
56,10,0.000000,0.000000,0.000000
57,0,0.000000,0.000000,0.000000
57,1,0.034611,0.032561,5.920702
57,2,0.065833,0.061935,5.920702
57,3,0.090612,0.085247,5.920702
57,4,0.106520,0.100214,5.920702
57,5,0.112002,0.105371,5.920702
57,6,0.106520,0.100214,5.920702
57,7,0.090612,0.085247,5.920702
57,8,0.065833,0.061935,5.920702
57,9,0.034611,0.032561,5.920702
57,10,0.000000,0.000000,0.000000
58,0,0.000000,0.000000,0.000000
58,1,0.033306,0.031301,6.021383
58,2,0.063353,0.059538,6.021383
58,3,0.087197,0.081947,6.021383
58,4,0.102507,0.096334,6.021383
58,5,0.107782,0.101292,6.021383
58,6,0.102507,0.096334,6.021383
58,7,0.087197,0.081947,6.021383
58,8,0.063353,0.059538,6.021383
58,9,0.033306,0.031301,6.021383
58,10,0.000000,0.000000,0.000000
59,0,0.000000,0.000000,0.000000
59,1,0.032051,0.030089,6.121955
59,2,0.060966,0.057233,6.121955
59,3,0.083912,0.078775,6.121955
59,4,0.098644,0.092605,6.121955
59,5,0.103721,0.097371,6.121955
59,6,0.098644,0.092605,6.121955
59,7,0.083912,0.078775,6.121955
59,8,0.060966,0.057233,6.121955
59,9,0.032051,0.030089,6.121955
59,10,0.000000,0.000000,0.000000
60,0,0.000000,0.000000,0.000000
60,1,0.030844,0.028925,6.222420
60,2,0.058668,0.055018,6.222420
60,3,0.080750,0.075725,6.222420
60,4,0.094927,0.089021,6.222420
60,5,0.099813,0.093602,6.222420
60,6,0.094927,0.089021,6.222420
60,7,0.080750,0.075725,6.222420
60,8,0.058668,0.055018,6.222420
60,9,0.030844,0.028925,6.222420
60,10,0.000000,0.000000,0.000000
61,0,0.000000,0.000000,0.000000
61,1,0.029682,0.027805,6.322778
61,2,0.056458,0.052888,6.322778
61,3,0.077707,0.072794,6.322778
61,4,0.091351,0.085575,6.322778
61,5,0.096052,0.089979,6.322778
61,6,0.091351,0.085575,6.322778
61,7,0.077707,0.072794,6.322778
61,8,0.056458,0.052888,6.322778
61,9,0.029682,0.027805,6.322778
61,10,0.000000,0.000000,0.000000
62,0,0.000000,0.000000,0.000000
62,1,0.028563,0.026729,6.423028
62,2,0.054330,0.050841,6.423028
62,3,0.074780,0.069976,6.423028
62,4,0.087909,0.082262,6.423028
62,5,0.092433,0.086496,6.423028
62,6,0.087909,0.082262,6.423028
62,7,0.074780,0.069976,6.423028
62,8,0.054330,0.050841,6.423028
62,9,0.028563,0.026729,6.423028
62,10,0.000000,0.000000,0.000000
63,0,0.000000,0.000000,0.000000
63,1,0.027487,0.025694,6.523171
63,2,0.052283,0.048873,6.523171
63,3,0.071962,0.067268,6.523171
63,4,0.084596,0.079078,6.523171
63,5,0.088950,0.083147,6.523171
63,6,0.084596,0.079078,6.523171
63,7,0.071962,0.067268,6.523171
63,8,0.052283,0.048873,6.523171
63,9,0.027487,0.025694,6.523171
63,10,0.000000,0.000000,0.000000
64,0,0.000000,0.000000,0.000000
64,1,0.026451,0.024699,6.623207
64,2,0.050313,0.046981,6.623207
64,3,0.069250,0.064664,6.623207
64,4,0.081409,0.076017,6.623207
64,5,0.085598,0.079929,6.623207
64,6,0.081409,0.076017,6.623207
64,7,0.069250,0.064664,6.623207
64,8,0.050313,0.046981,6.623207
64,9,0.026451,0.024699,6.623207
64,10,0.000000,0.000000,0.000000
65,0,0.000000,0.000000,0.000000
65,1,0.025455,0.023743,6.723136
65,2,0.048418,0.045162,6.723136
65,3,0.066641,0.062161,6.723136
65,4,0.078341,0.073074,6.723136
65,5,0.082373,0.076835,6.723136
65,6,0.078341,0.073074,6.723136
65,7,0.066641,0.062161,6.723136
65,8,0.048418,0.045162,6.723136
65,9,0.025455,0.023743,6.723136
65,10,0.000000,0.000000,0.000000
66,0,0.000000,0.000000,0.000000
66,1,0.024496,0.022824,6.822958
66,2,0.046593,0.043414,6.822958
66,3,0.064130,0.059754,6.822958
66,4,0.075389,0.070246,6.822958
66,5,0.079269,0.073861,6.822958
